table_label,row,column,tex_value,saved_value,passed
tab:domain-length-sensitivity,5,8,---,nan,True
tab:smoothed-newton-performance,1,1,2048,2048.0,True
tab:smoothed-newton-performance,1,2,8,8.0,True
tab:smoothed-newton-performance,1,3,1.98695,1.98695237809712,True
tab:smoothed-newton-performance,1,4,5.937,5.937,True
tab:smoothed-newton-performance,1,5,11,11.0,True
tab:smoothed-newton-performance,1,6,1.98695,1.98695243439938,True
tab:smoothed-newton-performance,1,7,2.439,2.439,True
tab:smoothed-newton-performance,2,1,8192,8192.0,True
tab:smoothed-newton-performance,2,2,9,9.0,True
tab:smoothed-newton-performance,2,3,2.09338,2.09338475688002,True
tab:smoothed-newton-performance,2,4,5.937,5.937,True
tab:smoothed-newton-performance,2,5,12,12.0,True
tab:smoothed-newton-performance,2,6,2.09338,2.09338486431435,True
tab:smoothed-newton-performance,2,7,2.346,2.346,True
tab:smoothed-newton-performance,3,1,32768,32768.0,True
tab:smoothed-newton-performance,3,2,9,9.0,True
tab:smoothed-newton-performance,3,3,2.12389,2.12388641081308,True
tab:smoothed-newton-performance,3,4,5.889,5.889,True
tab:smoothed-newton-performance,3,5,12,12.0,True
tab:smoothed-newton-performance,3,6,2.12389,2.12388647383117,True
tab:smoothed-newton-performance,3,7,2.343,2.343,True
tab:smoothing-qp-reference,1,1,\(10^{-8}\),1e-08,True
tab:smoothing-qp-reference,1,2,14,14.0,True
tab:smoothing-qp-reference,1,3,2.346,2.346,True
tab:smoothing-qp-reference,1,4,60.49,60.4850934815563,True
tab:smoothing-qp-reference,1,5,\(4.37\cdot10^{-5}\),4.37176335217362e-05,True
tab:smoothing-qp-reference,2,1,\(10^{-10}\),1e-10,True
tab:smoothing-qp-reference,2,2,13,13.0,True
tab:smoothing-qp-reference,2,3,3.189,3.189,True
tab:smoothing-qp-reference,2,4,46.29,46.2860030318343,True
tab:smoothing-qp-reference,2,5,\(3.75\cdot10^{-6}\),3.74953649754772e-06,True
tab:smoothing-qp-reference,3,1,\(10^{-12}\),1e-12,True
tab:smoothing-qp-reference,3,2,13,13.0,True
tab:smoothing-qp-reference,3,3,3.939,3.939,True
tab:smoothing-qp-reference,3,4,33.65,33.6533602829712,True
tab:smoothing-qp-reference,3,5,\(3.16\cdot10^{-7}\),3.16016542252235e-07,True
tab:smoothing-qp-reference,4,1,\(10^{-14}\),1e-14,True
tab:smoothing-qp-reference,4,2,13,13.0,True
tab:smoothing-qp-reference,4,3,4.689,4.689,True
tab:smoothing-qp-reference,4,4,21.02,21.020717534108098,True
tab:smoothing-qp-reference,4,5,\(2.61\cdot10^{-8}\),2.60637394955573e-08,True
tab:smoothing-qp-reference,5,1,\(10^{-16}\),1e-16,True
tab:smoothing-qp-reference,5,2,12,12.0,True
tab:smoothing-qp-reference,5,3,5.439,5.439,True
tab:smoothing-qp-reference,5,4,8.39,8.38807478524508,True
tab:smoothing-qp-reference,5,5,\(2.09\cdot10^{-9}\),2.09105336202698e-09,True
tab:smoothing-qp-reference,6,1,\(10^{-18}\),1e-18,True
tab:smoothing-qp-reference,6,2,10,10.0,True
tab:smoothing-qp-reference,6,3,5.937,5.937,True
tab:smoothing-qp-reference,6,4,0.00,0.0,True
tab:smoothing-qp-reference,6,5,\(1.62\cdot10^{-10}\),1.61750563778329e-10,True
tab:smoothing-qp-reference,7,1,\(10^{-20}\),1e-20,True
tab:smoothing-qp-reference,7,2,9,9.0,True
tab:smoothing-qp-reference,7,3,5.937,5.937,True
tab:smoothing-qp-reference,7,4,0.00,0.0,True
tab:smoothing-qp-reference,7,5,\(1.19\cdot10^{-11}\),1.19302116158073e-11,True
